Campaign id,status,hits,cost
1843579,Paused,,0
1120520,Running,119298,3.5189971
1531913,Running,3366,0.409261592
1522191,Running,6,0.001059
1258260,Running,291989,36.1597147
1258266,Paused,,0
1124638,Running,721533,34.8
1431081,Paused,,0
1488427,Running,2560228,342.3004206
1246514,Running,328911,40.82371489
1332019,Paused,,0
1123894,Running,1271739,503.4836306
1700921,Running,1424093,144.0077385
1123898,Running,715027,201.6257376
1521211,Running,1827813,197.31899
1287486,Paused,,0
1487433,Paused,,0
1120848,Running,54333,5.581131769
1234768,Paused,,0
1439569,Running,614854,5.4
1234770,Paused,,0
1704535,Running,12681518,267.42
1694305,Running,1849937,187.0553013
1790565,Running,1060840,36.9
1790567,Running,531609,4.6
1698663,Running,,0
1790569,Running,862172,30.94
1300855,Running,669787,67.40609306
1537167,Paused,,0
1330581,Paused,,0
1515671,Running,9,0.0009
1503383,Running,649675,12.04
1335457,Running,1030513,244.1199529
1498529,Running,,0
1338797,Paused,,0
1330607,Running,1714672,171.4914668
1698225,Running,397,0.075080687
1338803,Paused,,0
1698227,Running,76,0.025135492
1338805,Paused,,0
1490361,Running,60563,1.0199992
1700795,Paused,,0
1234110,Running,320058,10.205
1700801,Paused,,0
1253060,Paused,,0
1234118,Paused,,0
1431497,Paused,,0
1509835,Paused,,0
1807311,Running,11902013,289.8
1807313,Running,5142652,292.77
1807315,Running,90804,4.62
1503703,Running,154180,6.48
1521627,Running,20,0.003
1769695,Running,2368286,568.38864
1255908,Paused,,0
1431525,Running,1618027,161.884952
1234668,Paused,,0
1247982,Paused,,0
1622511,Running,971171,126.3697471
1234672,Running,1987949,468.0552545
1629425,Running,67396,7.407053125
1487347,Running,264742,26.47675432
1246452,Paused,,0
1698295,Running,3148984,73.45
1503735,Paused,,0
1431545,Running,1224356,122.9811486
1431551,Running,1024490,102.9065206
1245442,Running,0,0
1300483,Running,,0
1331973,Running,10366,1.415362198
1700869,Running,69622,15.80349234
1303819,Running,554908,70.89898636
1531919,Running,172611,4.392
1531921,Running,39,0.0036
1559827,Paused,,0
1244952,Paused,,0
1452059,Paused,,0
1230366,Running,340234,32.99905058
1332013,Paused,,0
1124660,Running,,0
1449783,Running,25,0.00387152
1332027,Running,391803,51.15396505
1534779,Running,176,0.01656
1244732,Running,862459,107.0424028
1515581,Running,7743195,247.1479318
1807167,Running,37432,3.018472638
1392449,Running,4634,0.586424859
1392451,Paused,,0
1433925,Paused,,0
1284424,Running,90149,12.16290028
1334603,Paused,,0
1400397,Running,11413,1.50665186
1334609,Running,,0
1246548,Running,1418921,24.461
1334613,Paused,,0
1127260,Running,70,0.00846
1334621,Paused,,0
1246558,Paused,,0
1122910,Paused,,0
1431135,Running,205528,17.43861292
1807201,Running,88701,13.97
