Campign Id,Visits,Clicks,Conversions,Revenue,CTR,CR,CV,EPV,EPC,AP
1807207,467,187,25,67.25,0.400428,0.13369,0.053533,0.144,0.3596,2.69
1431551,1412,309,25,63.2,0.218839,0.080906,0.017705,0.0448,0.2045,2.528
1465841,691,184,23,48.2,0.266281,0.125,0.033285,0.0698,0.262,2.0957
1534857,5512,128,22,52.1,0.023222,0.171875,0.003991,0.0095,0.407,2.3682
1529841,3955,543,21,40.8124,0.137295,0.038674,0.00531,0.0103,0.0752,1.9434
1244846,5188,497,21,51,0.095798,0.042254,0.004048,0.0098,0.1026,2.4286
1245422,3627,599,21,91.05,0.16515,0.035058,0.00579,0.0251,0.152,4.3357
1311795,5103,788,21,55.9,0.154419,0.02665,0.004115,0.011,0.0709,2.6619
1807201,318,174,20,69.6,0.54717,0.114943,0.062893,0.2189,0.4,3.48
1518793,1979,221,19,62.5,0.111673,0.085973,0.009601,0.0316,0.2828,3.2895
1230728,4336,1030,19,62.1,0.237546,0.018447,0.004382,0.0143,0.0603,3.2684
1518791,3413,239,19,63.2,0.070026,0.079498,0.005567,0.0185,0.2644,3.3263
1445881,220,113,18,58.45,0.513636,0.159292,0.081818,0.2657,0.5173,3.2472
1281956,5607,328,18,44.4,0.058498,0.054878,0.00321,0.0079,0.1354,2.4667
1331941,676,187,18,44.8,0.276627,0.096257,0.026627,0.0663,0.2396,2.4889
1487347,2757,156,17,36.5,0.056583,0.108974,0.006166,0.0132,0.234,2.1471
1807241,634,205,17,52.6,0.323344,0.082927,0.026814,0.083,0.2566,3.0941
1258260,812,158,16,40.7,0.194581,0.101266,0.019704,0.0501,0.2576,2.5438
1551049,649,134,16,36.8,0.206471,0.119403,0.024653,0.0567,0.2746,2.3
1465051,1620,116,15,99.9,0.071605,0.12931,0.009259,0.0617,0.8612,6.66
1246514,695,128,15,37.2,0.184173,0.117188,0.021583,0.0535,0.2906,2.48
1332027,1582,190,14,34.8,0.120101,0.073684,0.00885,0.022,0.1832,2.4857
1790569,511,187,14,35.5,0.365949,0.074866,0.027397,0.0695,0.1898,2.5357
1807239,184,77,13,38.65,0.418478,0.168831,0.070652,0.2101,0.5019,2.9731
1244732,1453,633,13,32.3,0.43565,0.020537,0.008947,0.0222,0.051,2.4846
1305535,2574,256,13,33.5,0.099456,0.050781,0.005051,0.013,0.1309,2.5769
1418377,5642,340,13,34.1,0.060262,0.038235,0.002304,0.006,0.1003,2.6231
1293974,1111,76,12,24.9,0.068407,0.157895,0.010801,0.0224,0.3276,2.075
1790581,126,77,12,39.55,0.611111,0.155844,0.095238,0.3139,0.5136,3.2958
1644839,314,76,12,63.5,0.242038,0.157895,0.038217,0.2022,0.8355,5.2917
1790573,391,88,12,48,0.225064,0.136364,0.030691,0.1228,0.5455,4
1807247,839,122,11,32.75,0.145411,0.090164,0.013111,0.039,0.2684,2.9773
1374979,1875,222,11,22.55,0.1184,0.04955,0.005867,0.012,0.1016,2.05
1391081,803,294,11,46.25,0.366127,0.037415,0.013699,0.0576,0.1573,4.2045
1790565,645,67,11,28,0.103876,0.164179,0.017054,0.0434,0.4179,2.5455
1629395,465,85,11,31.2,0.182796,0.129412,0.023656,0.0671,0.3671,2.8364
1245412,784,56,10,24,0.071429,0.178571,0.012755,0.0306,0.4286,2.4
1230366,1885,317,10,38.45,0.16817,0.031546,0.005305,0.0204,0.1213,3.845
1272124,2717,124,10,34.8,0.045639,0.080645,0.003681,0.0128,0.2806,3.48
1465067,293,99,10,10,0.337884,0.10101,0.03413,0.0341,0.101,1
1284424,2107,245,10,38.15,0.116279,0.040816,0.004746,0.0181,0.1557,3.815
1281686,1714,97,9,26.4,0.056593,0.092784,0.005251,0.0154,0.2722,2.9333
1311799,6133,614,9,26.55,0.100114,0.014658,0.001467,0.0043,0.0432,2.95
1503383,189,77,9,21.95,0.407407,0.116883,0.047619,0.1161,0.2851,2.4389
1529843,2578,419,9,27.3,0.162529,0.02148,0.003491,0.0106,0.0652,3.0333
1529859,381,127,9,23.1,0.333333,0.070866,0.023622,0.0606,0.1819,2.5667
1281670,454,133,9,26.1,0.292952,0.067669,0.019824,0.0575,0.1962,2.9
1246548,449,121,9,36.55,0.269488,0.07438,0.020045,0.0814,0.3021,4.0611
1124638,364,42,9,23.1,0.115385,0.214286,0.024725,0.0635,0.55,2.5667
1438955,3517,206,9,22.15,0.058573,0.043689,0.002559,0.0063,0.1075,2.4611
1696681,558,109,8,19.75,0.195341,0.073394,0.014337,0.0354,0.1812,2.4688
1332005,148,70,8,25.6,0.472973,0.114286,0.054054,0.173,0.3657,3.2
1120848,337,73,8,19.9,0.216617,0.109589,0.023739,0.0591,0.2726,2.4875
1455029,695,72,8,48,0.103597,0.111111,0.011511,0.0691,0.6667,6
1790567,100,28,7,14.7,0.28,0.25,0.07,0.147,0.525,2.1
1439569,117,44,7,17.05,0.376068,0.159091,0.059829,0.1457,0.3875,2.4357
1330557,6521,351,6,19.4,0.053826,0.017094,0.00092,0.003,0.0553,3.2333
1452051,838,114,6,45.8,0.136038,0.052632,0.00716,0.0547,0.4018,7.6333
1250302,92,40,6,15.75,0.434783,0.15,0.065217,0.1712,0.3938,2.625
1311613,1048,367,6,21.44,0.350191,0.016349,0.005725,0.0205,0.0584,3.5733
1521375,483,49,6,14.8,0.101449,0.122449,0.012422,0.0306,0.302,2.4667
1253024,765,72,6,15.2,0.094118,0.083333,0.007843,0.0199,0.2111,2.5333
1418311,253,113,6,41.75,0.44664,0.053097,0.023715,0.165,0.3695,6.9583
1311747,1523,243,5,51.5,0.159554,0.020576,0.003283,0.0338,0.2119,10.3
1431469,835,209,5,20.75,0.250299,0.023923,0.005988,0.0249,0.0993,4.15
1234110,168,30,5,12.7,0.178571,0.166667,0.029762,0.0756,0.4233,2.54
1455041,598,67,5,18,0.11204,0.074627,0.008361,0.0301,0.2687,3.6
1120520,73,33,5,12.7,0.452055,0.151515,0.068493,0.174,0.3848,2.54
1282962,817,74,5,27.5,0.090575,0.067568,0.00612,0.0337,0.3716,5.5
1790575,226,126,5,32.25,0.557522,0.039683,0.022124,0.1427,0.256,6.45
1788927,367,50,5,16,0.13624,0.1,0.013624,0.0436,0.32,3.2
1519493,94,16,4,29,0.170213,0.25,0.042553,0.3085,1.8125,7.25
1293904,932,202,4,25.5,0.216738,0.019802,0.004292,0.0274,0.1262,6.375
1311787,272,99,4,13.95,0.363971,0.040404,0.014706,0.0513,0.1409,3.4875
1431135,593,232,4,16.75,0.391231,0.017241,0.006745,0.0282,0.0722,4.1875
1311751,779,217,4,12.75,0.278562,0.018433,0.005135,0.0164,0.0588,3.1875
1597933,7777,143,4,9.55,0.018388,0.027972,0.000514,0.0012,0.0668,2.3875
1455039,175,23,4,24,0.131429,0.173913,0.022857,0.1371,1.0435,6
1476461,29,7,3,18,0.241379,0.428571,0.103448,0.6207,2.5714,6
1293866,231,64,3,26.6,0.277056,0.046875,0.012987,0.1152,0.4156,8.8667
1531919,80,20,3,11.75,0.25,0.15,0.0375,0.1469,0.5875,3.9167
1807205,105,53,3,7.95,0.504762,0.056604,0.028571,0.0757,0.15,2.65
1299307,194,88,3,9.3,0.453608,0.034091,0.015464,0.0479,0.1057,3.1
1293862,190,50,3,10.84,0.263158,0.06,0.015789,0.0571,0.2168,3.6133
1305559,1265,163,3,8.2,0.128854,0.018405,0.002372,0.0065,0.0503,2.7333
1305537,257,79,3,7,0.307393,0.037975,0.011673,0.0272,0.0886,2.3333
1629425,703,43,3,7,0.061166,0.069767,0.004267,0.01,0.1628,2.3333
1609397,154,33,2,10,0.214286,0.060606,0.012987,0.0649,0.303,5
1518789,442,80,2,4.4,0.180995,0.025,0.004525,0.01,0.055,2.2
1302115,1657,242,2,21.6,0.146047,0.008264,0.001207,0.013,0.0893,10.8
1888370,224,72,2,5.35,0.321429,0.027778,0.008929,0.0239,0.0743,2.675
1439559,407,51,2,14.5,0.125307,0.039216,0.004914,0.0356,0.2843,7.25
1694237,247,12,2,4.4,0.048583,0.166667,0.008097,0.0178,0.3667,2.2
1465053,519,71,2,10,0.136802,0.028169,0.003854,0.0193,0.1408,5
1272126,803,176,2,4.1,0.219178,0.011364,0.002491,0.0051,0.0233,2.05
1293860,191,28,2,5,0.146597,0.071429,0.010471,0.0262,0.1786,2.5
1487131,413,132,2,4.8,0.319613,0.015152,0.004843,0.0116,0.0364,2.4
1529847,741,88,2,5.1,0.118758,0.022727,0.002699,0.0069,0.058,2.55
1790577,230,47,2,8.75,0.204348,0.042553,0.008696,0.038,0.1862,4.375
1272088,528,71,2,6.4,0.13447,0.028169,0.003788,0.0121,0.0901,3.2
1790559,105,23,2,6,0.219048,0.086957,0.019048,0.0571,0.2609,3
1537135,142,20,2,7,0.140845,0.1,0.014085,0.0493,0.35,3.5
1248434,1505,173,2,7.75,0.11495,0.011561,0.001329,0.0051,0.0448,3.875
1400397,215,43,2,5,0.2,0.046512,0.009302,0.0233,0.1163,2.5
1293902,1014,183,2,5.1738,0.180473,0.010929,0.001972,0.0051,0.0283,2.5869
1431495,25,10,1,2.4,0.4,0.1,0.04,0.096,0.24,2.4
1303935,8,1,1,0,0.125,1,0.125,0,0,0
1518347,286,26,1,13.3,0.090909,0.038462,0.003497,0.0465,0.5115,13.3
1790579,118,26,1,4,0.220339,0.038462,0.008475,0.0339,0.1538,4
1305539,90,7,1,1.8,0.077778,0.142857,0.011111,0.02,0.2571,1.8
1304003,164,47,1,2.8,0.286585,0.021277,0.006098,0.0171,0.0596,2.8
1293924,44,13,1,5,0.295455,0.076923,0.022727,0.1136,0.3846,5
1503703,113,8,1,2.6,0.070796,0.125,0.00885,0.023,0.325,2.6
1418355,123,27,1,8,0.219512,0.037037,0.00813,0.065,0.2963,8
1773557,18327,20,1,6,0.001091,0.05,0.000055,0.0003,0.3,6
1311619,1690,309,1,2.5,0.18284,0.003236,0.000592,0.0015,0.0081,2.5
1311733,316,76,1,3.75,0.240506,0.013158,0.003165,0.0119,0.0493,3.75
1608995,49,9,1,2.8,0.183673,0.111111,0.020408,0.0571,0.3111,2.8
1807315,77,9,1,2.6,0.116883,0.111111,0.012987,0.0338,0.2889,2.6
1257956,6,5,1,5,0.833333,0.2,0.166667,0.8333,1,5
1253028,1098,51,1,2.4,0.046448,0.019608,0.000911,0.0022,0.0471,2.4
1807167,67,33,1,4,0.492537,0.030303,0.014925,0.0597,0.1212,4
1790583,4,6,1,2.6,1.5,0.166667,0.25,0.65,0.4333,2.6
1439571,225,25,1,2.8,0.111111,0.04,0.004444,0.0124,0.112,2.8
1531917,46,10,1,3.25,0.217391,0.1,0.021739,0.0707,0.325,3.25
1281514,28,16,1,2.05,0.571429,0.0625,0.035714,0.0732,0.1281,2.05
,16,0,0,0,0,0,0,0,0,0
1234760,1,0,0,0,0,0,0,0,0,0
1245442,1,0,0,0,0,0,0,0,0,0
1248468,59,8,0,0,0.135593,0,0,0,0,0
1248476,137,4,0,0,0.029197,0,0,0,0,0
1248478,164,43,0,0,0.262195,0,0,0,0,0
1248748,35,0,0,0,0,0,0,0,0,0
1257940,144,5,0,0,0.034722,0,0,0,0,0
1257942,121,6,0,0,0.049587,0,0,0,0,0
1281916,121,19,0,0,0.157025,0,0,0,0,0
1282922,135,14,0,0,0.103704,0,0,0,0,0
1282924,81,8,0,0,0.098765,0,0,0,0,0
1282978,1,0,0,0,0,0,0,0,0,0
1282986,174,41,0,0,0.235632,0,0,0,0,0
1282994,14,5,0,0,0.357143,0,0,0,0,0
1287426,18,6,0,0,0.333333,0,0,0,0,0
1293926,26,1,0,0,0.038462,0,0,0,0,0
1302147,244,29,0,0,0.118852,0,0,0,0,0
1303921,3,0,0,0,0,0,0,0,0,0
1303923,15,4,0,0,0.266667,0,0,0,0,0
1303925,11,0,0,0,0,0,0,0,0,0
1303927,15,1,0,0,0.066667,0,0,0,0,0
1303929,91,6,0,0,0.065934,0,0,0,0,0
1303931,3,0,0,0,0,0,0,0,0,0
1303933,3,0,0,0,0,0,0,0,0,0
1303939,1,2,0,0,2,0,0,0,0,0
1303999,24,8,0,0,0.333333,0,0,0,0,0
1304001,286,32,0,0,0.111888,0,0,0,0,0
1305489,114,27,0,0,0.236842,0,0,0,0,0
1305491,1,0,0,0,0,0,0,0,0,0
1305493,2,0,0,0,0,0,0,0,0,0
1305507,11,1,0,0,0.090909,0,0,0,0,0
1305513,647,34,0,0,0.05255,0,0,0,0,0
1305517,3,0,0,0,0,0,0,0,0,0
1305519,19,13,0,0,0.684211,0,0,0,0,0
1305561,90,23,0,0,0.255556,0,0,0,0,0
1305567,29,6,0,0,0.206897,0,0,0,0,0
1331973,340,10,0,0,0.029412,0,0,0,0,0
1358753,645,168,0,0,0.260465,0,0,0,0,0
1392449,16,1,0,0,0.0625,0,0,0,0,0
1418305,17,16,0,0,0.941176,0,0,0,0,0
1418369,11,3,0,0,0.272727,0,0,0,0,0
1431127,18,8,0,0,0.444444,0,0,0,0,0
1442759,27,2,0,0,0.074074,0,0,0,0,0
1442803,10,2,0,0,0.2,0,0,0,0,0
1476373,8,1,0,0,0.125,0,0,0,0,0
1487097,1,0,0,0,0,0,0,0,0,0
1490361,22,4,0,0,0.181818,0,0,0,0,0
1503815,67,17,0,0,0.253731,0,0,0,0,0
1509843,6,1,0,0,0.166667,0,0,0,0,0
1515575,5,2,0,0,0.4,0,0,0,0,0
1515645,25,3,0,0,0.12,0,0,0,0,0
1521599,25,0,0,0,0,0,0,0,0,0
1531849,19,2,0,0,0.105263,0,0,0,0,0
1531913,6,16,0,0,2.666667,0,0,0,0,0
1531921,1,0,0,0,0,0,0,0,0,0
1534779,1,0,0,0,0,0,0,0,0,0
1552835,3,0,0,0,0,0,0,0,0,0
1554511,1675,218,0,0,0.130149,0,0,0,0,0
1596067,2866,48,0,0,0.016748,0,0,0,0,0
1608939,52,3,0,0,0.057692,0,0,0,0,0
1698225,3,1,0,0,0.333333,0,0,0,0,0
1734263,64,13,0,0,0.203125,0,0,0,0,0
1790561,62,2,0,0,0.032258,0,0,0,0,0
1807231,257,88,0,0,0.342412,0,0,0,0,0
